orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_02094			arp2/3 complex 34 kda subunit	Arp2/3 complex 34 kDa subunit	ARP2/3 complex 34 kDa subunit	ARPC2_SCHPO|Actin-related protein 2/3 complex subunit 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=arc2 PE=1 SV=1					ARC35	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
CNAG_02095			cyclin	Cyclin	cyclin	CG23_SCHPO|G2/mitotic-specific cyclin cdc13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cdc13 PE=1 SV=1				549	CLB1; CLB2; CLB3; CLB4; CLB6	G2/mitotic-specific cyclin-1; G2/mitotic-specific cyclin-2; G2/mitotic-specific cyclin-3; G2/mitotic-specific cyclin-4; S-phase entry cyclin-6
CNAG_02096			peroxin-16	Peroxisomal membrane protein PEX16	peroxin-16	PEX16_YARLI|Peroxisomal membrane protein PEX16 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=PEX16 PE=3 SV=1						
CNAG_02097			hypothetical protein	Uncharacterized protein	hypothetical protein	ASPC1_HUMAN|Tether containing UBX domain for GLUT4 OS=Homo sapiens OX=9606 GN=ASPSCR1 PE=1 SV=1						
CNAG_02099	FAS1		fatty acid synthase subunit beta, fungi type	Fatty acid synthase subunit beta, fungi type	fatty acid synthase subunit beta, fungi type	FAS1_YARLI|Fatty acid synthase subunit beta OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=FAS1 PE=3 SV=2					FAS1; FAS2	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]; Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)]
CNAG_02100	FAS2		fatty acid synthase subunit alpha, fungi type	Fatty acid synthase subunit alpha, fungi type	fatty acid synthase subunit alpha, fungi type	FAS2_EMEND|Fatty acid synthase subunit alpha OS=Emericella nidulans OX=162425 GN=fasA PE=3 SV=1				1016	FAS1; FAS2	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]; Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)]
CNAG_02101			hypothetical protein	Uncharacterized protein	hypothetical protein	YDH1_SCHPO|Uncharacterized protein C6G9.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC6G9.01c PE=4 SV=2						
CNAG_02102			hypothetical protein	Uncharacterized protein	hypothetical protein					1095		
CNAG_02103			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_02104	SFH5		phosphatidylinositol transfer protein SFH5	Phosphatidylinositol transfer protein SFH5	phosphatidylinositol transfer protein SFH5	SFH5_CRYNB|Phosphatidylinositol transfer protein SFH5 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=SFH5 PE=3 SV=1					SFH5	Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)
CNAG_02105			methylated-DNA-protein-cysteine methyltransferase	Methylated-DNA-protein-cysteine methyltransferase	methylated-DNA-protein-cysteine methyltransferase, methylated-DNA-protein-cysteine methyltransferase, variant	ATL1_SCHPO|Alkyltransferase-like protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=atl1 PE=1 SV=1						
CNAG_02106			mitochondrial intermembrane space import and assembly protein 40	Mitochondrial intermembrane space import and assembly protein 40	mitochondrial intermembrane space import and assembly protein 40	MIA40_CRYNB|Mitochondrial intermembrane space import and assembly protein 40 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MIA40 PE=3 SV=1					MIA40	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)
CNAG_02107			hypothetical protein	Uncharacterized protein	hypothetical protein						TDA6; VPS62	Putative vacuolar protein sorting-associated protein TDA6 (Topoisomerase I damage affected protein 6); Vacuolar protein sorting-associated protein 62
CNAG_02108			GTPase activating protein	GTPase activating protein	GTPase activating protein	YOI9_SCHPOTB|C domain-containing protein C1778.09 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1778.09 PE=4 SV=1						
CNAG_02109			type I inositol-1,4,5-trisphosphate 5-phosphatase 1	Type I inositol-1,4,5-trisphosphate 5-phosphatase 1	type I inositol-1,4,5-trisphosphate 5- phosphatase 1	YE8A_SCHPO|Probable inositol polyphosphate 5-phosphatase C9G1.10c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC9G1.10c PE=1 SV=2				1060		
CNAG_02110			peptide alpha-N-acetyltransferase	Peptide alpha-N-acetyltransferase	peptide alpha-N-acetyltransferase	NAA15_HUMAN|N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1				166	NAT1	N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)
CNAG_02111	CLP1	J9VN68	protein Clp1	mRNA cleavage and polyadenylation factor CLP1	protein Clp1	CLP1_CRYN|BmRNA cleavage and polyadenylation factor CLP1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CLP1 PE=3 SV=1					CLP1	mRNA cleavage and polyadenylation factor CLP1
CNAG_02112			ubiquitin-conjugating enzyme E2 W	Ubiquitin-conjugating enzyme E2 W	ubiquitin-conjugating enzyme E2 W	UBE2W_XENTR|Ubiquitin-conjugating enzyme E2 W OS=Xenopus tropicalis OX=8364 GN=ube2w PE=2 SV=1						
CNAG_02113			clathrin assembly protein	AP complex subunit sigma	clathrin assembly protein	AP1S1_SCHPOA|P-1 complex subunit sigma-1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vas2 PE=1 SV=1					APS1	AP-1 complex subunit sigma-1 (Clathrin assembly protein complex 1 sigma-1 small chain) (Clathrin coat assembly protein AP19) (Clathrin coat-associated protein AP19) (Golgi adaptor AP-1 19 kDa adaptin) (HA1 19 kDa subunit) (Sigma1-adaptin)
CNAG_02114			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02115	NHP6B02		nonhistone protein 6	Nonhistone protein 6	Non-histone chromosomal protein 6, putative	TFAM_HUMAN|Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1					HMO1	High mobility group protein 1 (High spontaneous mutagenesis protein 2)
CNAG_02116			arf/Sar family protein	Arf/Sar family protein	arf/Sar family protein	ARL8A_MOUSEAD|P-ribosylation factor-like protein 8A OS=Mus musculus OX=10090 GN=Arl8a PE=1 SV=1						
CNAG_02117			NAD-binding Rossmann fold oxidoreductase family protein	NAD-binding Rossmann fold oxidoreductase	NAD-binding Rossmann fold oxidoreductase	GFO_ZYMMO|Glucose--fructose oxidoreductase OS=Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4) OX=264203 GN=gfo PE=1 SV=2						Uncharacterized protein YMR315W
CNAG_02118			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02119			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02120			TIGR01456 family HAD hydrolase	TIGR01456 family HAD hydrolase	TIGR01456 family HAD hydrolase	YF38_SCHPO|Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.08c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22A12.08c PE=3 SV=1						Uncharacterized protein YKR070W
CNAG_02121			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02122	NCS6	J9VMI4	cytoplasmic tRNA 2-thiolation protein 1	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	cytoplasmic tRNA 2-thiolation protein 1	CTU1_CRYNB|Cytoplasmic tRNA 2-thiolation protein 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=NCS6 PE=3 SV=1					NCS6	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1) (Needs CLA4 to survive protein 6) (Thiolation of uridine in cytoplasmic tRNA protein 1)
CNAG_02122	CTU1	J9VMI4	cytoplasmic tRNA 2-thiolation protein 1	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	cytoplasmic tRNA 2-thiolation protein 1	CTU1_CRYNB|Cytoplasmic tRNA 2-thiolation protein 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=NCS6 PE=3 SV=1					NCS6	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1) (Needs CLA4 to survive protein 6) (Thiolation of uridine in cytoplasmic tRNA protein 1)
CNAG_02123			methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase	methionyl-tRNA formyltransferase	FMT_ENTFA|Methionyl-tRNA formyltransferase OS=Enterococcus faecalis (strain ATCC 700802 / V583) OX=226185 GN=fmt PE=3 SV=1				474	FMT1	Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)
CNAG_02124			hypothetical protein	Uncharacterized protein	hypothetical protein	RN181_DANRE|E3 ubiquitin-protein ligase RNF181 OS=Danio rerio OX=7955 GN=rnf181 PE=2 SV=2						
CNAG_02125			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_02126			hypothetical protein	Uncharacterized protein	hypothetical protein							Uncharacterized protein YIL156W-B
CNAG_02127			cyclin-dependent protein kinase regulator	Cyclin-dependent protein kinase regulator	cyclin-dependent protein kinase regulator	CCNL1_DANRE|Cyclin-L1 OS=Danio rerio OX=7955 GN=ccnl1 PE=1 SV=1						
CNAG_02128	HCR1	J9VQJ6	translation initiation factor 3 subunit J	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit homolog) (eIF-3 30 kDa subunit homolog)	translation initiation factor 3 subunit J						HCR1	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit) (eIF-3 30 kDa)
CNAG_02129			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02130	NSR1		RNA-binding protein 39	RNA-binding protein 39	RNA-binding protein 39	RSD1_SCHPORN|A-binding protein rsd1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rsd1 PE=1 SV=2						
CNAG_02131	ISA1		iron-sulfur cluster assembly protein	Iron-sulfur cluster assembly protein (Fragment)	iron-sulfur cluster assembly protein	ISA1_YEAST|Iron-sulfur assembly protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISA1 PE=1 SV=1					ISA1	Iron-sulfur assembly protein 1
CNAG_02132			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02133	SOL3		6-phosphogluconolactonase	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	6-phosphogluconolactonase	6PGL_SCHPO|Probable 6-phosphogluconolactonase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC16C4.10 PE=3 SV=1					SOL1; SOL2; SOL3; SOL4	6-phosphogluconolactonase-like protein 1; 6-phosphogluconolactonase-like protein 2 (Suppressor of LOS1); 6-phosphogluconolactonase 3 (6PGL) (EC 3.1.1.31); 6-phosphogluconolactonase 4 (6PGL) (EC 3.1.1.31)
CNAG_02134	RSC8		hypothetical protein	Uncharacterized protein	rsc chromatin remodeling complex subunit	SSR2_SCHPOSW|I/SNF and RSC complexes subunit ssr2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ssr2 PE=1 SV=3	TRUE				RSC8; SWI3	Chromatin structure-remodeling complex protein RSC8 (Remodel the structure of chromatin complex subunit 8) (SWI3 homolog); SWI/SNF complex subunit SWI3 (Transcription factor TYE2) (Transcription regulatory protein SWI3)
CNAG_02135			protein transporter SEC20	Protein transporter SEC20	protein transporter SEC20						SEC20	Protein transport protein SEC20
CNAG_02136			small subunit ribosomal protein S6	Small subunit ribosomal protein S6	small subunit ribosomal protein S6	RT06_SCHPO37|S ribosomal protein MRP17, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrp17 PE=3 SV=2					MRP17	37S ribosomal protein MRP17, mitochondrial (Mitochondrial small ribosomal subunit protein bS6m) (YmS16)
CNAG_02137			hypothetical protein	Uncharacterized protein	hypothetical protein					801		
CNAG_02138			DNA replication ATP-dependent helicase Dna2	DNA replication ATP-dependent helicase Dna2	DNA replication ATP-dependent helicase dna2	DNA2_XENLADN|A replication ATP-dependent helicase/nuclease DNA2 OS=Xenopus laevis OX=8355 GN=dna2 PE=1 SV=1					DNA2	DNA replication ATP-dependent helicase/nuclease DNA2 [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]
CNAG_02139			oxysterol-binding protein	Oxysterol-binding protein	oxysterol-binding protein	YJX1_SCHPO|Oxysterol-binding protein homolog C23B6.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC23B6.01c PE=1 SV=2					OSH6; OSH7	Oxysterol-binding protein homolog 6; Oxysterol-binding protein homolog 7
CNAG_02140			NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12	N7BM_YARLINAD|H dehydrogenase						
CNAG_02141			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02143			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_02144			large subunit ribosomal protein L1-A	Ribosomal protein	large subunit ribosomal protein L1-A	RL1B_SCHPO60|S ribosomal protein L1-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpl101 PE=1 SV=1					RPL1A; RPL1B	60S ribosomal protein L1-A (L10a) (Large ribosomal subunit protein uL1-A); 60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)
CNAG_02145			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02146			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02147			cytochrome c peroxidase	Peroxidase (EC 1.11.1.-)	cytochrome c peroxidase	CCPR2_CRYNB|Putative heme-binding peroxidase OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CNBE3880 PE=3 SV=1					CCP1	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)
CNAG_02149			hypothetical protein	Uncharacterized protein	hypothetical protein	SDHF4_YEAST|Succinate dehydrogenase assembly factor 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SDH8 PE=1 SV=2					SDH8	Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4) (Found in mitochondrial proteome protein 21)
CNAG_02150			mRNA methyltransferase	mRNA methyltransferase	mRNA methyltransferase	MTA70_DANRE|N6-adenosine-methyltransferase subunit METTL3 OS=Danio rerio OX=7955 GN=mettl3 PE=2 SV=1					IME4	N6-adenosine-methyltransferase IME4 (EC 2.1.1.348)
CNAG_02151			amidohydrolase	Amidohydrolase	amidohydrolase	HUTI_CUPNH|Imidazolonepropionase OS=Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) OX=381666 GN=hutI PE=3 SV=1						
CNAG_02152			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02153	TUP1		glucose repression regulatory protein TUP1	Glucose repression regulatory protein TUP1	glucose repression regulatory protein TUP1	RCO1_NEUCR|Transcriptional repressor rco-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=rco-1 PE=4 SV=2					TUP1	General transcriptional corepressor TUP1 (Flocculation suppressor protein) (Glucose repression regulatory protein TUP1) (Repressor AER2)
CNAG_02154			anaphase-promoting complex subunit 6	Anaphase-promoting complex subunit 6	anaphase-promoting complex subunit 6	CUT9_SCHPO|Anaphase-promoting complex subunit cut9 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cut9 PE=1 SV=2				409	CDC16	Anaphase-promoting complex subunit CDC16 (Cell division control protein 16)
CNAG_02155			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02156			hypothetical protein	Uncharacterized protein	hypothetical protein					694		
CNAG_02157			hypothetical protein	Uncharacterized protein	hypothetical protein					487	CTR86	Copper transport protein 86
CNAG_02159			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02160			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_02161			cortical actin cytoskeleton protein asp1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24)	cortical actin cytoskeleton protein asp1	VIP1_SCHPO|Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=asp1 PE=1 SV=1				293	VIP1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24) (InsP6 and PP-IP5 kinase)
CNAG_02162			U3 small nucleolar RNA-associated protein 24	U3 small nucleolar RNA-associated protein 24	U3 small nucleolar RNA-associated protein 24	FCF1_BOVI|NrRNA-processing protein FCF1 homolog OS=Bos taurus OX=9913 GN=FCF1 PE=2 SV=1					FCF1	rRNA-processing protein FCF1 (FAF1-copurifying factor 1)
CNAG_02163			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02164			hypothetical protein	Uncharacterized protein	hypothetical protein	MIB2_CHICK|E3 ubiquitin-protein ligase MIB2 OS=Gallus gallus OX=9031 GN=MIB2 PE=2 SV=1						
CNAG_02165			cytoplasmic protein	Cytoplasmic protein	cytoplasmic protein	PSP1_YEAST|Protein PSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSP1 PE=1 SV=2						Uncharacterized protein YLR177W
CNAG_02166			DNA-directed RNA polymerase II subunit RPB1	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	DNA-directed RNA polymerase II subunit RPB1	RPB1_SCHPODN|A-directed RNA polymerase II subunit rpb1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpb1 PE=1 SV=1					RPO21; RPO31	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220); DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160)
CNAG_02167			vacuolar protein sorting-associated protein 27	Vacuolar protein sorting-associated protein 27	vacuolar protein sorting-associated protein 27	VPS27_CRYNB|Vacuolar protein sorting-associated protein 27 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=VPS27 PE=3 SV=1					VPS27	Vacuolar protein sorting-associated protein 27 (Golgi retention defective protein 11)
CNAG_02168			glucoamylase	Glucoamylase	Glucoamylase					977		
CNAG_02169			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02170			hypothetical protein	Uncharacterized protein	hypothetical protein					707		
CNAG_02171			DNA polymerase eta subunit	DNA polymerase eta subunit	DNA polymerase eta subunit	ESO1_SCHPO|N-acetyltransferase eso1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=eso1 PE=1 SV=1				648	RAD30	DNA polymerase eta (EC 2.7.7.7) (Radiation-sensitive protein 30)
CNAG_02172			ubiquitin-protein ligase	Ubiquitin-protein ligase	ubiquitin-protein ligase	UBR11_SCHPO|E3 ubiquitin-protein ligase ubr11 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubr11 PE=3 SV=1					UBR1; UBR2	E3 ubiquitin-protein ligase UBR1 (EC 2.3.2.27) (N-end-recognizing protein) (N-recognin-1) (RING-type E3 ubiquitin transferase UBR1); E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3 component N-recognin-1 homolog)
CNAG_02173			transporter particle component	Transporter particle component	transporter particle component	TPC6B_MOUSE|Trafficking protein particle complex subunit 6B OS=Mus musculus OX=10090 GN=Trappc6b PE=1 SV=1					TRS33	Trafficking protein particle complex subunit 33 (TRAPP subunit 33) (Transport protein particle 33 kDa subunit)
CNAG_02174			signal recognition particle protein SRP54	Signal recognition particle 54 kDa protein	signal recognition particle protein SRP54, signal recognition particle protein SRP54, variant 1, signal recognition particle protein SRP54, variant 2	SRP54_SCHPO|Signal recognition particle 54 kDa protein homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=srp54 PE=1 SV=1				162	SRP54	Signal recognition particle subunit SRP54 (Signal recognition particle 54 kDa protein homolog)
CNAG_02175			5'-3' exoribonuclease 1	5'-3' exoribonuclease 1 (EC 3.1.13.-)	5'-3' exoribonuclease 1	XRN1_SCHP|O5'-3' exoribonuclease 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=exo2 PE=1 SV=1					RAT1; XRN1	5'-3' exoribonuclease 2 (EC 3.1.13.-) (Ribonucleic acid-trafficking protein 1) (p116); 5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175)
CNAG_02176			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02177			serine/threonine-protein phosphatase PP2A catalytic subunit	Serine/threonine-protein phosphatase (EC 3.1.3.16)	serine/threonine-protein phosphatase PP2A catalytic subunit	PP2A1_EMENI|Serine/threonine-protein phosphatase PP2A catalytic subunit OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=pphA PE=3 SV=2					PPH21; PPH22	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit (EC 3.1.3.16); Serine/threonine-protein phosphatase PP2A-2 catalytic subunit (EC 3.1.3.16)
CNAG_02178			hypothetical protein	Uncharacterized protein	hypothetical protein	COG3_HUMAN|Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3					COG3	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Protein SEC34)
CNAG_02179			hemolysin	Hemolysin	Hemolysin	MAM3_YEAST|Protein MAM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAM3 PE=1 SV=1					MAM3	Protein MAM3
CNAG_02180			phosphate transporter	Phosphate transporter	phosphate transporter	YBH4_SCHPO|Uncharacterized transporter C3B8.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC3B8.04c PE=3 SV=1					PHO87; PHO90; PHO91	Inorganic phosphate transporter PHO87; Low-affinity phosphate transporter PHO90; Low-affinity phosphate transporter PHO91
CNAG_02181			dihydrokaempferol 4-reductase	Dihydrokaempferol 4-reductase	dihydrokaempferol 4-reductase	AZAE_ASPNA|Ketoreductase azaE OS=Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7) OX=380704 GN=azaE PE=2 SV=1					; ; ARI1; GRE2	Putative uncharacterized oxidoreductase YDR541C (EC 1.1.1.-); Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-); NADPH-dependent aldehyde reductase ARI1 (EC 1.1.1.-); NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase)
CNAG_02182	GRE2		D-lactaldehyde dehydrogenase	D-lactaldehyde dehydrogenase	D-lactaldehyde dehydrogenase	YKJ7_SCHPO|Putative uncharacterized oxidoreductase C513.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC513.07 PE=3 SV=1					; ; ARI1; GRE2	Putative uncharacterized oxidoreductase YDR541C (EC 1.1.1.-); Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-); NADPH-dependent aldehyde reductase ARI1 (EC 1.1.1.-); NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase)
CNAG_02183			anaphase-promoting complex subunit 1	Anaphase-promoting complex subunit 1	anaphase-promoting complex subunit 1	APC1_MOUSE|Anaphase-promoting complex subunit 1 OS=Mus musculus OX=10090 GN=Anapc1 PE=1 SV=2				953	APC1	Anaphase-promoting complex subunit 1
CNAG_02184			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_02185			nuclear protein	Nuclear protein	nuclear protein	RCM1_SCHPO25|S rRNA (cytosine-C(5))-methyltransferase rcm1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rcm1 PE=3 SV=3					RCM1	25S rRNA (cytosine(2278)-C(5))-methyltransferase (EC 2.1.1.311) (rRNA m(5)C methyltransferase 1)
CNAG_02186			myosin regulatory light chain	Myosin regulatory light chain	myosin regulatory light chain	MLR1_SCHPO|Myosin regulatory light chain 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rlc1 PE=1 SV=1						
CNAG_02187			terbinafine resistance locus protein	Protein YIP	terbinafine resistance locus protein	YIPF6_DICDI|Protein YIPF6 homolog OS=Dictyostelium discoideum OX=44689 GN=yipf6 PE=3 SV=2					YIP4	Protein YIP4 (YPT-interacting protein 4)
CNAG_02188			hypothetical protein	Uncharacterized protein	hypothetical protein							
