oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
									
YMR294W	JNM1	Component of the yeast dynactin complex; consisting of Nip100p, Jnm1p, and Arp1p; required for proper nuclear migration and spindle partitioning during mitotic anaphase B	Nuclear migration protein JNM1	P36224			76		
									
YMR294W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; substantially overlaps YMR295C; deletion causes sensitivity to unfolded protein response-inducing agents							
									
YMR295C		Protein of unknown function that associates with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud; not an essential gene; protein abundance increases in response to DNA replication stress; YMR295C has a paralog, YGR273C, that arose from the whole genome duplication	Uncharacterized protein YMR295C	Q03559					
									
YMR296C	LCB1	Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine	Serine palmitoyltransferase 1 (SPT 1) (SPT1) (EC 2.3.1.50) (Long chain base biosynthesis protein 1)	P25045					
									
YMR297W	PRC1	Vacuolar carboxypeptidase Y (proteinase C, CPY); broad-specificity C-terminal exopeptidase involved in non-specific protein degradation in the vacuole; member of the serine carboxypeptidase family	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	P00729					
									
YMR298W	LIP1	Ceramide synthase subunit; single-span ER membrane protein associated with Lag1p and Lac1p and required for ceramide synthase activity, null mutant grows extremely slowly and is defective in ceramide synthesis	Ceramide synthase subunit LIP1 (LAG1/LAC1-interacting protein 1)	Q03579					
									
YMR299C	DYN3	Dynein light intermediate chain (LIC); localizes with dynein, null mutant is defective in nuclear migration	Cytoplasmic dynein intermediate light chain DYN3 (Dynein protein 3)	Q04949			63		
									
YMR300C	ADE4	Phosphoribosylpyrophosphate amidotransferase (PRPPAT); catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway; also known as amidophosphoribosyltransferase	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	P04046					
									
YMR301C	ATM1	Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol; human homolog ABCB7 can complement yeast null mutant	Iron-sulfur clusters transporter ATM1, mitochondrial	P40416					
									
YMR302C	YME2	Integral inner mitochondrial membrane protein; role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases	Mitochondrial escape protein 2 (Protein RNA12)	P32843					
									
YMR303C	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	P00331					
									
YMR304W	UBP15	Ubiquitin-specific protease involved in protein deubiquitination; forms a complex with AAA peroxins Pex1p and Pex6p; deubiquitinates mono- and polyubiquitinated forms of Pex5p; deubiquitinates Clb5p, counteracting APC activity, and facilitating both Clb5p accumulation and S phase entry; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences	Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15)	P50101					
									
YMR304C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 3' end of verified ORF SCW10/YMR305C					30		
									
YMR305C	SCW10	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on mutant phenotype and its regulation by Ste12p; SWC10 has a paralog, SCW4, that arose from the whole genome duplication	Probable family 17 glucosidase SCW10 (EC 3.2.1.-) (Soluble cell wall protein 10)	Q04951			32		
									
YMR306W	FKS3	Protein involved in spore wall assembly; has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	1,3-beta-glucan synthase component FKS3 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (FK506 sensitivity protein 3)	Q04952					
									
YMR306C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 3' end of ORF FKS3/YMR306W							
									
YMR307W	GAS1	Beta-1,3-glucanosyltransferase; required for cell wall assembly and also has a role in transcriptional silencing; localizes to cell surface via a glycosylphosphatidylinositol (GPI) anchor; also found at nuclear periphery; genetic interactions with histone H3 lysine acetyltransferases GCN5 and SAS3 indicate previously unsuspected functions for Gas1 in DNA damage response and cell cycle regulation	1,3-beta-glucanosyltransferase GAS1 (EC 2.4.1.-) (Glycolipid-anchored surface protein 1) (Glycoprotein GP115)	P22146					
									
YMR307C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GAS1/YMR307W							
									
YMR308C	PSE1	Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p	Importin subunit beta-3 (Karyopherin subunit beta-3) (Karyopherin-121) (Protein secretion enhancer 1)	P32337					
									
YMR309C	NIP1	eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3); involved in the assembly of preinitiation complex and start codon selection; eIF3 is also involved in programmed stop codon readthrough	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 93 kDa subunit) (eIF3 p93) (Nuclear transport protein NIP1) (Translation initiation factor eIF3, p93 subunit)	P32497					
									
YMR310C		Putative methyltransferase; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; not an essential gene; YMR310C has a paralog, YGR283C, that arose from the whole genome duplication	Putative methyltransferase YMR310C (EC 2.1.1.-)	Q04867					
									
YMR311C	GLC8	Regulatory subunit of protein phosphatase 1 (Glc7p); involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2; protein abundance increases in response to DNA replication stress	Protein GLC8	P41818					
									
ARS1332		Autonomously Replicating Sequence							
									
YMR312W	ELP6	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity	Elongator complex protein 6 (Gamma-toxin target 6) (HAT-associated protein 3)	Q04868					
									
YMR313C	TGL3	Bifunctional triacylglycerol lipase and LPE acyltransferase; major lipid particle-localized triacylglycerol (TAG) lipase; catalyzes acylation of lysophosphatidylethanolamine (LPE), a function which is essential for sporulation; protein level and stability of Tgl3p are markedly reduced in the absence of lipid droplets; required with Tgl4p for timely bud formation	Lipase 3 (EC 3.1.1.3) (Triacylglycerol lipase 3)	P40308					
									
YMR314W	PRE5	Alpha 6 subunit of the 20S proteasome; protein abundance increases in response to DNA replication stress	Proteasome subunit alpha type-6 (EC 3.4.25.1) (Macropain subunit PRE5) (Multicatalytic endopeptidase complex subunit PRE5) (Proteasome component PRE5) (Proteinase YSCE subunit PRE5)	P40302					
									
YMR315W		Protein with NADP(H) oxidoreductase activity; transcription is regulated by Stb5p in response to NADPH depletion induced by diamide; promoter contains a putative Stb5p binding site; protein abundance increases in response to DNA replication stress	Uncharacterized protein YMR315W	Q04869					
									
YMR315W-A		Putative protein of unknown function	Uncharacterized protein YMR315W-A	Q8TGS4					
									
YMR316W	DIA1	Protein of unknown function; involved in invasive and pseudohyphal growth; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	Protein DIA1 (Digs into agar protein 1)	P54005					
									
YMR316C-A		Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; mRNA identified as translated by ribosome profiling data; overlaps the verified gene DIA1/YMR316W	Uncharacterized protein YMR316C-A	I2HB70					
									
YMR317W		Putative protein of unknown function; has some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene	Uncharacterized protein YMR317W	Q04893					
									
YMR316C-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 5' end of ORF YMR317W							
									
YMR318C	ADH6	NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance; protein abundance increases in response to DNA replication stress	NADP-dependent alcohol dehydrogenase 6 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VI) (ScADHVI)	Q04894					
									
YMR319C	FET4	Low-affinity Fe(II) transporter of the plasma membrane	Low-affinity Fe(2+) transport protein (Low-affinity Fe(II) transport protein)	P40988					
									
YMR320W		Putative protein of unknown function; conserved among S. cerevisiae strains; YMR320W is not an essential gene	Uncharacterized protein YMR320W	Q04897					
									
YMR321C		Putative protein of unknown function; proposed to be a palmitoylated membrane protein; YMR321C has a paralog, SAM4, that arose from a single-locus duplication	Putative uncharacterized protein YMR321C	Q04898					
									
ARS1333		Putative replication origin; identified in multiple array studies, not yet confirmed by plasmid-based assay							
YMR322C	SNO4	Possible chaperone and cysteine protease; required for transcriptional reprogramming during the diauxic shift and for survival in stationary phase; similar to bacterial Hsp31 and yeast Hsp31p, Hsp32p, and Hsp33p; DJ-1/ThiJ/PfpI superfamily member; predicted involvement in pyridoxine metabolism; induced by mild heat stress and copper deprivation	Probable glutathione-independent glyoxalase SNO4 (EC 4.2.1.130) (Glyoxalase 3 homolog 4) (Heat shock protein 34) (SNZ proximal open reading frame 4)	Q04902					
									
YMR323W	ERR3	Enolase, a phosphopyruvate hydratase; catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate; complements the growth defect of an ENO1 ENO2 double mutant in glucose	Enolase-related protein 3 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	P42222					
									
YMR324C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription is AZF1 dependent in glycerol-lactate medium and SLT2 dependent in response to the lipid hydroperoxides							
									
YMR325W	PAU19	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	Seripauperin-19	P0CE85					
									
ARS1335		Putative replication origin; identified in multiple array studies, not yet confirmed by plasmid-based assay							
TEL13R		Telomeric region on the right arm of Chromosome XIII; composed of an X element core sequence, X element combinatorial repeats, and a terminal stretch of telomeric repeats							
		Terminal telomeric repeats on the right arm of Chromosome XIII							
		Telomeric X element Core sequence on the right arm of Chromosome XIII; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YMR326C							
		Telomeric X element combinatorial repeat on the right arm of Chr XIII; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats							
YMR326C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the telomere on the right arm of chromosome 13							
									
YNL339W-B		Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching							
									
YNL339W-A		Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching							
									
YNL339C	YRF1-6	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p	Y' element ATP-dependent helicase protein 1 copy 6 (EC 3.6.4.12)	P53819					
									
									
									
YNL338W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps TEL14L-XC, which is a telomeric X element core sequence on the left arm of chromosome XIV							
									
YNL337W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
TEL14L		Telomeric region on the left arm of Chromosome XIV; composed of an X element core sequence, X element combinatorial repeats, a short stretch of telomeric repeats, and a long Y' element							
		Internal telomeric repeats on the left arm of Chromosome XIV; spans ORF YNL338W							
		Telomeric X element Core sequence on the left arm of Chromosome XIV; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YNL337W							
		Telomeric X element combinatorial repeat on the left arm of Chr XIV; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats							
		Telomeric long Y' element on the left arm of Chromosome XIV; contains an ARS consensus sequence, a region of 36-bp repeats, and three ORFs (YRF1-6/YNL339C, YNL339W-A, YNL339W-B)							
YNL336W	COS1	Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins	Protein COS1	P53822					
									
YNL335W	DDI3	Cyanamide hydratase that detoxifies cyanamide; member of the HD domain metalloprotein superfamily; expression is induced over 100-fold by cyanamide and by SN2-type DNA alkylating agents such as MMS and DMA; induction decreased in rad6 and rad18 mutants; gene and protein are identical to DDI2 and Ddi2p	Cyanamide hydratase DDI3 (CAH) (EC 4.2.1.69) (DNA damage-inducible protein 3)	P0CH64					
									
YNL334C	SNO2	Protein of unknown function; nearly identical to Sno3p; expression is induced before the diauxic shift and also in the absence of thiamin	Probable pyridoxal 5'-phosphate synthase subunit SNO2 (EC 4.3.3.6) (PDX2 homolog 2) (Pdx2.2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	P53823					
									
YNL333W	SNZ2	Member of a stationary phase-induced gene family; transcription of SNZ2 is induced prior to diauxic shift, and also in the absence of thiamin in a Thi2p-dependent manner; forms a coregulated gene pair with SNO2; interacts with Thi11p	Probable pyridoxal 5'-phosphate synthase subunit SNZ2 (PLP synthase subunit SNZ2) (EC 4.3.3.6) (PDX1 homolog 2) (Pdx1.2)	P53824					
									
YNL332W	THI12	Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI12 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (Thiamine biosynthesis protein 12) (Thiamine pyrimidine synthase)	P42883					
									
YNL331C	AAD14	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family	Putative aryl-alcohol dehydrogenase AAD14 (EC 1.1.1.-)	P42884					
									
YNL330C	RPD3	Histone deacetylase, component of both the Rpd3S and Rpd3L complexes; regulates transcription, silencing, autophagy and other processes by influencing chromatin remodeling; forms at least two different complexes which have distinct functions and members; Rpd3(L) recruitment to the subtelomeric region is regulated by interaction with the arginine methyltransferase, Hmt1p	Histone deacetylase RPD3 (EC 3.5.1.98) (Transcriptional regulatory protein RPD3)	P32561					
									
YNL329C	PEX6	AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death	Peroxisomal ATPase PEX6 (Peroxin-6) (Peroxisomal assembly protein 8) (Peroxisome biosynthesis protein PAS8)	P33760			90		
									
YNL328C	MDJ2	Constituent of the mitochondrial import motor; associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain	Mitochondrial DnaJ homolog 2	P42834			99		
									
YNL327W	EGT2	Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase; required for proper cell separation after cytokinesis; expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner	Protein EGT2 (Early G1 transcript 2)	P42835			0		
									
YNL326C	PFA3	Palmitoyltransferase for Vac8p; required for vacuolar membrane fusion; contains an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; autoacylates; required for vacuolar integrity under stress conditions	Palmitoyltransferase PFA3 (EC 2.3.1.225) (Protein fatty acyltransferase 3)	P42836					
									
ARS1405		Autonomously Replicating Sequence							
									
YNL324W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YNL325C	FIG4	Phosphatidylinositol 3,5-bisphosphate (PtdIns[3,5]P) phosphatase; required for efficient mating and response to osmotic shock; physically associates with and regulated by Vac14p; contains a SAC1-like domain; homologous to human FIG4, which is associated with CMT4J, a form of Charcot-Marie-Tooth disorder	Polyphosphoinositide phosphatase (EC 3.1.3.-) (Factor-induced gene 4 protein) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase)	P42837					
									
YNL323W	LEM3	Membrane protein of the plasma membrane and ER; interacts specifically in vivo with the phospholipid translocase (flippase) Dnf1p; involved in translocation of phospholipids and alkylphosphocholine drugs across the plasma membrane; null mutant requires tryptophan due to mislocalization of tryptophan permease Tat2p	Alkylphosphocholine resistance protein LEM3 (Brefeldin-A sensitivity protein 3) (Ro-sensitive 3)	P42838					
									
YNL322C	KRE1	Cell wall glycoprotein involved in beta-glucan assembly; serves as a K1 killer toxin membrane receptor	Protein KRE1 (Killer toxin-resistance protein 1)	P17260					
									
YNL321W	VNX1	Calcium/H+ antiporter localized to the endoplasmic reticulum membrane; member of the calcium exchanger (CAX) family; potential Cdc28p substrate	Low affinity vacuolar monovalent cation/H(+) antiporter (Vacuolar Na(+)/H(+) exchanger)	P42839					
									
YNL320W		Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Uncharacterized membrane protein YNL320W	P42840					
									
YNL319W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HXT14							
									
YNL318C	HXT14	Protein with similarity to hexose transporter family members; expression is induced in low glucose and repressed in high glucose; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Hexose transporter HXT14	P42833					
									
YNL317W	PFS2	Integral subunit of the pre-mRNA CPF complex; the cleavage and polyadenylation factor (CPF) complex plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex	Polyadenylation factor subunit 2	P42841					
									
YNL316C	PHA2	Prephenate dehydratase; catalyzes the conversion of prephanate to phenylpyruvate, which is a step in the phenylalanine biosynthesis pathway	Putative prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	P32452					
									
YNL315C	ATP11	Molecular chaperone; required for the assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase; N-terminally propionylated in vivo	Protein ATP11, mitochondrial	P32453					
									
YNL314W	DAL82	Positive regulator of allophanate inducible genes; binds a dodecanucleotide sequence upstream of all genes that are induced by allophanate; contains an UISALL DNA-binding, a transcriptional activation, and a coiled-coil domain	Protein DAL82	P21705	TRUE				
									
YNL313C	EMW1	Essential conserved protein with a role in cell wall integrity; contains six TPR (tetratricopeptide repeat) domains clustered in the C-terminal region; conditional mutant is suppressed by overexpression of GFA1; protein abundance increases in response to DNA replication stress	Essential for maintenance of the cell wall protein 1	P42842					
									
YNL312W	RFA2	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; in concert with Sgs1p-Top2p-Rmi1p, stimulates DNA catenation/decatenation activity of Top3p; protein abundance increases in response to DNA replication s	Replication factor A protein 2 (RF-A protein 2) (DNA-binding protein BUF1) (Replication protein A 36 kDa subunit)	P26754			19		
									
									
									
YNL311C	SKP2	F-box protein of unknown function; predicted to be part of an SCF ubiquitin protease complex; involved in regulating protein levels of sulfur metabolism enzymes; may interact with ribosomes, based on co-purification experiments	F-box protein SKP2	P42843					
									
YNL310C	ZIM17	Protein co-chaperone with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; required for the maintenance of Ssc1p solubility and assists in the functional interaction of Ssc1p with substrate proteins	Mitochondrial protein import protein ZIM17 (Mitochondrial import inner membrane translocase subunit TIM15) (mtHsp70 escort protein 1) (mtHsp70-associated motor and chaperone protein TIM15/ZIM17) (MMC)	P42844			10		
									
YNL309W	STB1	Protein with role in regulation of MBF-specific transcription at Start; phosphorylated by Cln-Cdc28p kinases in vitro; unphosphorylated form binds Swi6p, which is required for Stb1p function; expression is cell-cycle regulated; STB1 has a paralog, YOL131W, that arose from the whole genome duplication	Protein STB1 (SIN3-binding protein 1)	P42845			12		
									
YNL308C	KRI1	Essential nucleolar protein required for 40S ribosome biogenesis; associate with snR30; physically and functionally interacts with Krr1p	Protein KRI1 (KRR1-interacting protein 1)	P42846			74		
									
YNL307C	MCK1	Dual-specificity ser/thr and tyrosine protein kinase; roles in chromosome segregation, meiotic entry, genome stability, phosphorylation-dependent protein degradation (Rcn1p and Cdc6p), inhibition of protein kinase A, transcriptional regulation, inhibition of RNA pol III, calcium stress and inhibition of Clb2p-Cdc28p after nuclear division; MCK1 has a paralog, YGK3, that arose from the whole genome duplication	Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase)	P21965		TRUE			
									
YNL306W	MRPS18	Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins	37S ribosomal protein S18, mitochondrial (Mitochondrial small ribosomal subunit protein uS11m) (YmS18)	P42847					
									
YNL305C	BXI1	Protein involved in apoptosis; variously described as containing a BCL-2 homology (BH3) domain or as a member of the BAX inhibitor family; reported to promote apoptosis under some conditions and to inhibit it in others; localizes to ER and vacuole; may link the unfolded protein response to apoptosis via regulation of calcium-mediated signaling; translocates to mitochondria under apoptosis-inducing conditions in a process involving Mir1p and Cor1p	Bax inhibitor 1 (BH3 domain-containing protein BXI1)	P48558					
									
YNL304W	YPT11	Rab GTPase; Myo2p-binding protein implicated in mother-to-bud transport of cortical endoplasmic reticulum (ER), late Golgi, and mitochondria during cell division; function is regulated at multiple levels; abundance of active Ypt11p forms is controlled by phosphorylation status and degradation; normally a low-abundance protein whose ER localization is only detected when protein is highly over expressed	GTP-binding protein YPT11 (Rab GTPase YPT11)	P48559			13		
									
YNL303W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
ARS1406		Autonomously Replicating Sequence							
									
YNL302C	RPS19B	Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19B has a paralog, RPS19A, that arose from the whole genome duplication	40S ribosomal protein S19-B (RP55B) (S16a) (Small ribosomal subunit protein eS19-B) (YS16B)	P07281					
									
									
									
YNL301C	RPL18B	Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18B has a paralog, RPL18A, that arose from the whole genome duplication	60S ribosomal protein L18-B (Large ribosomal subunit protein eL18-B) (RP28)	P0CX50					
									
									
									
YNL300W	TOS6	Glycosylphosphatidylinositol-dependent cell wall protein; expression is periodic and decreases in respone to ergosterol perturbation or upon entry into stationary phase; depletion increases resistance to lactic acid	Protein TOS6	P48560			26		
									
YNL299W	TRF5	Non-canonical poly(A) polymerase; involved in nuclear RNA degradation as a component of the TRAMP complex; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; overlapping but non-redundant functions with Pap2p	Poly(A) RNA polymerase protein 1 (EC 2.7.7.19) (Topoisomerase 1-related protein TRF5)	P48561					
									
YNL298W	CLA4	Cdc42p-activated signal transducing kinase; member of the PAK (p21-activated kinase) family, along with Ste20p and Skm1p; involved in septin ring assembly, vacuole inheritance, cytokinesis, sterol uptake regulation; phosphorylates Cdc3p and Cdc10p; CLA4 has a paralog, SKM1, that arose from the whole genome duplication	Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)	P48562		TRUE	85		
									
YNL296W		Dubious open reading frame unlikely to encode a functional protein; deletion adversely affects sporulation; deletion mutant exhibits synthetic phenotype under expression of mutant huntingtin fragment, but gene does not have human ortholog							
									
YNL297C	MON2	Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins	Protein MON2	P48563					
									
YNL295W	MRX6	Protein that associates with mitochondrial ribosome	MIOREX complex component 6 (Mitochondrial organization of gene expression protein 6)	P48564					
									
YNL294C	RIM21	pH sensor molecule, component of the RIM101 pathway; has a role in cell wall construction and alkaline pH response; is glycosylated and phosphorylated; interacts with Dfg16p and Rim9p to form a pH-sensing complex; localization to the plasma membrane is dependent on Dfg16p and Rim9p; has similarity to A. nidulans PalH	pH-response regulator protein palH/RIM21 (Regulator of IME2 protein 21)	P48565					
									
YNL293W	MSB3	Rab GTPase-activating protein; regulates endocytosis via inactivation of Vps21p at endosomes and vacuole fusion via inactivation of Ypt7p at vacuoles; also acts on Ypt52p and Sec4p; localizes to plasma membrane, sites of polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; similar to TBC-domain Tre2 oncogene; MSB3 has a paralog, MSB4, that arose from the whole genome duplication; human homolog USP6NL can complement yeast msb3 msb4 double null	GTPase-activating protein GYP3 (Multicopy suppressor of bud emergence 3) (Protein MSB3)	P48566					
									
YNL292W	PUS4	Pseudouridine synthase; catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs; also responsible for pseudouracil modification of some mRNAs; PUS4 overexpression leads to translational derepression of GCN4 (Gcd- phenotype)	tRNA pseudouridine synthase 4 (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase 4) (tRNA-uridine isomerase 4)	P48567					
									
YNL291C	MID1	N-glycosylated integral membrane protein of the ER and plasma membrane; functions as a stretch-activated Ca2+-permeable cation channel required for Ca2+ influx stimulated by pheromone; interacts with Cch1p; forms an oligomer	Stretch-activated cation channel MID1 (Mating pheromone-induced death protein 2)	P41821					
									
YNL290W	RFC3	Subunit of heteropentameric Replication factor C (RF-C); which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon; relocalizes to the cytosol in response to hypoxia	Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit)	P38629					
									
YNL289W	PCL1	Cyclin, interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily, involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; is ubiquitinated by Dma1p; phosphorylation by Pho85p targets it for degradation; localizes to sites of polarized cell growth	PHO85 cyclin-1 (Cyclin HCS26) (G1/S-specific cyclin PCL1)	P24867			20		
									
snR40	SNR40	C/D box small nucleolar RNA (snoRNA); guides 2'-O-methylation of large subunit (LSU) rRNA at position U898 and small subunit (SSU) rRNA at position G1271							
									
ARS1407		Autonomously Replicating Sequence							
									
YNL288W	CAF40	Component of the CCR4-NOT transcriptional complex; evolutionarily conserved; involved in controlling mRNA initiation, elongation, and degradation; binds Cdc39p	Protein CAF40 (40 kDa CCR4-associated factor)	P53829					
									
YNL287W	SEC21	Gamma subunit of coatomer; coatomer is a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	P32074					
									
YNL286W	CUS2	Putative checkpoint factor in transcription; binds to U2 snRNA and Prp11p; regulates toggling of the U2 snRNA stem II region between different structures; contains two RNA recognition motifs (RRMs)	Cold sensitive U2 snRNA suppressor 2	P53830					
									
YNL285W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
