orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation
CNAG_00327			DASH complex subunit DAD2	DASH complex subunit DAD2	DASH complex subunit DAD2	
CNAG_00328			DNA excision repair protein ERCC-5	DNA excision repair protein ERCC-5	DNA excision repair protein ERCC-5	RAD13_SCHPODN|A repair protein rad13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rad13 PE=2 SV=2
CNAG_00329			NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	NADH dehydrogenase (Ubiquinone) 1 beta subcomplex 8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	
CNAG_00330			transcription factor TFIIIB component b''	Transcription factor TFIIIB component b	transcription factor TFIIIB component b''	
CNAG_00331			anon-23da protein	Anon-23da protein	anon-23da protein	YM60_YEAST|Putative esterase YMR210W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR210W PE=1 SV=1
CNAG_00332			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00333			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00334			hsp75-like protein	Hsp75-like protein	hsp75-like protein	SSB1_SCHPO|Ribosome-associated molecular chaperone sks2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sks2 PE=1 SV=2
CNAG_00335			hypothetical protein	Uncharacterized protein	hypothetical protein	YCJ5_SCHPO|Uncharacterized protein C63.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC63.05 PE=3 SV=1
CNAG_00336			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00337			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00342			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00343			hypothetical protein	Uncharacterized protein	hypothetical protein	HST3_CANALNA|D-dependent histone deacetylase HST3 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=HST3 PE=3 SV=2
CNAG_00344			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00345			porphobilinogen synthase	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	porphobilinogen synthase	HEM2_YEAST|Delta-aminolevulinic acid dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM2 PE=1 SV=2
CNAG_00346			hypothetical protein	Uncharacterized protein	hypothetical protein	YPI1_PHANO|Type 1 phosphatases regulator YPI1 OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) OX=321614 GN=YPI1 PE=3 SV=1
CNAG_00347			DEAH box polypeptide 36	DEAH box polypeptide 36	DEAH box polypeptide 36	YG65_SCHPO|Uncharacterized helicase C15C4.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC15C4.05 PE=3 SV=1
CNAG_00348			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00349			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00351			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00352			A1 cistron-splicing factor AAR2	A1 cistron-splicing factor AAR2	A1 cistron-splicing factor AAR2	
CNAG_00353	LPI16		3-oxo-5-alpha-steroid 4-dehydrogenase 1	3-oxo-5-alpha-steroid 4-dehydrogenase 1	3-oxo-5-alpha-steroid 4-dehydrogenase 1	DET2_SOLLC|Steroid 5-alpha-reductase DET2 OS=Solanum lycopersicum OX=4081 GN=DET2 PE=1 SV=1
CNAG_00354			vacuolar protein 8	Vacuolar protein 8	vacuolar protein 8	VAC8_CRYNB|Vacuolar protein 8 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=VAC8 PE=3 SV=1
CNAG_00355			hypothetical protein	Uncharacterized protein	hypothetical protein	MMTA2_BOVIN|Multiple myeloma tumor-associated protein 2 homolog OS=Bos taurus OX=9913 GN=MMTAG2 PE=2 SV=1
CNAG_00356			survival factor 1	Survival factor 1	survival factor 1	SVF1_ASPFU|Survival factor 1 OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=svf1 PE=3 SV=1
CNAG_00357			ribonuclease HI	Ribonuclease H (RNase H) (EC 3.1.26.4)	ribonuclease HI, ribonuclease HI, variant	RNH1_HUMAN|Ribonuclease H1 OS=Homo sapiens OX=9606 GN=RNASEH1 PE=1 SV=2
CNAG_00358			tRNA dimethylallyltransferase	tRNA dimethylallyltransferase	tRNA dimethylallyltransferase, tRNA dimethylallyltransferase, variant	MOD5_SCHP|OtRNA dimethylallyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tit1 PE=3 SV=1
CNAG_00359			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00361			hypothetical protein	Uncharacterized protein	hypothetical protein	RV167_CANAL|Regulator of cytoskeleton and endocytosis RVS167 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=RVS167 PE=3 SV=2
CNAG_00362			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00363	TCO6		two-component system sensor molecule	Two-component system sensor protein	Two-component-like sensor kinase	DHKA_DICDI|Hybrid signal transduction histidine kinase A OS=Dictyostelium discoideum OX=44689 GN=dhkA PE=1 SV=1
CNAG_00364	KAE1	J9VIU8	tRNA threonylcarbamoyladenosine biosynthesis protein	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)	tRNA threonylcarbamoyladenosine biosynthesis protein	KAE1_CRYN|BtRNA N6-adenosine threonylcarbamoyltransferase OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=KAE1 PE=3 SV=1
CNAG_00365			lysophospholipid acyltransferase	Lysophospholipid acyltransferase	lysophospholipid acyltransferase	ALE1_SCHPO|Lysophospholipid acyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ale1 PE=1 SV=1
CNAG_00366			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00367	DYN5		dynactin 5	Dynactin 5	dynactin 5	DCTN5_MOUSE|Dynactin subunit 5 OS=Mus musculus OX=10090 GN=Dctn5 PE=1 SV=1
CNAG_00368			vacuolar-sorting protein 53 long isoform	Vacuolar-sorting protein 53 long isoform	vacuolar-sorting protein 53 long isoform	VPS53_CHICK|Vacuolar protein sorting-associated protein 53 homolog OS=Gallus gallus OX=9031 GN=VPS53 PE=2 SV=1
CNAG_00369	MED6	J9VIV2	hypothetical protein	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)	hypothetical protein	MED6_CRYNB|Mediator of RNA polymerase II transcription subunit 6 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MED6 PE=3 SV=1
CNAG_00370	UBI1		polyubiquitin	Polyubiquitin	Predicted ubiquitin-ribosomal 60s subunit protein L40a fusion protein	RL40_CRYNJ|Ubiquitin-60S ribosomal protein L40 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=UBI1 PE=1 SV=2
CNAG_00371			methylglutaconyl-CoA hydratase	Methylglutaconyl-CoA hydratase	methylglutaconyl-CoA hydratase	ECH2M_ARATH|Probable enoyl-CoA hydratase 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At4g16800 PE=2 SV=1
CNAG_00372			chromatin structure-remodeling complex protein RSC7	Chromatin structure-remodeling complex protein RSC7	chromatin structure-remodeling complex protein RSC7	
CNAG_00373			glucan 1,3-beta-glucosidase	Glucan 1,3-beta-glucosidase	glucan 1,3-beta-glucosidase	EXGA_EMENI|Probable glucan 1,3-beta-glucosidase A OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=exgA PE=3 SV=2
CNAG_00374			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00375	GCN5		histone acetyltransferase	Histone acetyltransferase	histone acetyltransferase	GCN5_CANGA|Histone acetyltransferase GCN5 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=GCN5 PE=3 SV=1
CNAG_00376			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00377			DNA topoisomerase II	DNA topoisomerase 2 (EC 5.99.1.3)	DNA topoisomerase II, DNA topoisomerase II, variant	TOP2_SCHPODN|A topoisomerase 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=top2 PE=1 SV=2
CNAG_00378			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00383	APT3		phospholipid-transporting ATPase	Phospholipid-transporting ATPase (EC 7.6.2.1)	Aminophospholipid translocase, putative	YOOC_SCHPO|Probable phospholipid-transporting ATPase C887.12 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC887.12 PE=3 SV=1
CNAG_00384			RAD51-like protein 2	RAD51-like protein 2	RAD51-like protein 2	RA51C_ARATHDN|A repair protein RAD51 homolog 3 OS=Arabidopsis thaliana OX=3702 GN=RAD51C PE=1 SV=2
CNAG_00385			20S proteasome subunit beta 3	Proteasome subunit beta (EC 3.4.25.1)	20S proteasome subunit beta 3	PSB3_ONCMY|Proteasome subunit beta type-3 OS=Oncorhynchus mykiss OX=8022 GN=psmb3 PE=2 SV=1
CNAG_00386			translation initiation factor 4G	Translation initiation factor 4G	translation initiation factor 4G	IF4G_SCHPO|Eukaryotic translation initiation factor 4 gamma OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tif471 PE=1 SV=1
CNAG_00387	LPI13		hypothetical protein	Uncharacterized protein	hypothetical protein	YLOH_SCHPOTB|C domain-containing protein C1952.17c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1952.17c PE=4 SV=4
CNAG_00388			1-phosphatidylinositol-4-phosphate 5-kinase	1-phosphatidylinositol-4-phosphate 5-kinase	1-phosphatidylinositol-4-phosphate 5-kinase	ITS3_SCHPO|Phosphatidylinositol 4-phosphate 5-kinase its3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=its3 PE=1 SV=3
CNAG_00389			mitochondrial protein	Mitochondrial protein	mitochondrial protein	CAF17_CRYNB|Putative transferase CAF17, mitochondrial OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CAF17 PE=3 SV=1
CNAG_00390			myotubularin	Myotubularin	myotubularin	YMR1_SCHPO|Phosphoinositide 3-phosphatase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC19A8.03 PE=3 SV=1
CNAG_00391			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00392			kelch repeat-containing protein	Kelch repeat-containing protein	kelch repeat-containing protein, kelch repeat-containing protein, variant	FBX42_MOUSE|F-box only protein 42 OS=Mus musculus OX=10090 GN=Fbxo42 PE=1 SV=1
CNAG_00393			1,4-alpha-glucan-branching enzyme	1,4-alpha-glucan-branching enzyme	1,4-alpha-glucan-branching enzyme	GLGB_CRYN|B1,4-alpha-glucan-branching enzyme OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=GLC3 PE=3 SV=1
CNAG_00394			diphthamide biosynthesis protein 3	Diphthamide biosynthesis protein 3	diphthamide biosynthesis protein 3	DPH3_CRYNB|Diphthamide biosynthesis protein 3 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=DPH3 PE=3 SV=1
CNAG_00395	SLX1	J9VEQ1	structure-specific endonuclease subunit SLX1	Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-)	structure-specific endonuclease subunit SLX1	SLX1_CRYNB|Structure-specific endonuclease subunit SLX1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=SLX1 PE=3 SV=1
CNAG_00396	PKA1		AGC/PKA protein kinase	AGC/PKA protein kinase	AGC/PKA protein kinase	KAPA_YEAS|TcAMP-dependent protein kinase type 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPK1 PE=1 SV=3
CNAG_00397			2-oxoisovalerate dehydrogenase E1 component, beta subunit	2-oxoisovalerate dehydrogenase E1 component, beta subunit	2-oxoisovalerate dehydrogenase E1 component, beta subunit	ODBB_DICD|I2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum OX=44689 GN=bkdB PE=3 SV=1
CNAG_00398			hypothetical protein	Uncharacterized protein	hypothetical protein	Y4695_DICDIS|H3 and F-BAR domain-containing protein DDB_G0274695 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0274695 PE=4 SV=1
CNAG_00399			transformer-2-beta isoform 3	Transformer-2-beta isoform 3	transformer-2-beta isoform 3	TRA2A_HUMAN|Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1
CNAG_00400			secondary thiamine-phosphate synthase enzyme	Secondary thiamine-phosphate synthase enzyme	secondary thiamine-phosphate synthase enzyme, secondary thiamine-phosphate synthase enzyme, variant	YJBQ_ECO57UP|F0047 protein YjbQ OS=Escherichia coli O157:H7 OX=83334 GN=yjbQ PE=3 SV=1
CNAG_00401			phosphatidylinositol glycan, class U	Phosphatidylinositol glycan, class U	phosphatidylinositol glycan, class U	CDC91_YEASTGP|I transamidase component GAB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAB1 PE=1 SV=1
CNAG_00402			translation initiation factor 4G	Translation initiation factor 4G	translation initiation factor 4G	IF4G_SCHPO|Eukaryotic translation initiation factor 4 gamma OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tif471 PE=1 SV=1
CNAG_00403			mitochondrial protein	Mitochondrial protein	mitochondrial protein	BODG_MOUSE|Gamma-butyrobetaine dioxygenase OS=Mus musculus OX=10090 GN=Bbox1 PE=1 SV=1
CNAG_00404			RING zinc finger protein	RING zinc finger protein	RING zinc finger protein	MU145_SCHPORIN|G finger protein mug145 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mug145 PE=1 SV=1
CNAG_00405	KIC1		STE/STE20/YSK protein kinase	STE/STE20/YSK protein kinase	ste/ste20/ysk protein kinase	NAK1_SCHPO|Serine/threonine-protein kinase nak1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=nak1 PE=1 SV=1
CNAG_00406			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00407			glyoxal oxidase	Glyoxal oxidase	glyoxal oxidase	GLOX_PHACH|Aldehyde oxidase GLOX OS=Phanerochaete chrysosporium OX=5306 GN=GLX PE=1 SV=1
CNAG_00408	PPH3		serine/threonine-protein phosphatase PP-X isozyme 1	Serine/threonine-protein phosphatase (EC 3.1.3.16)	serine/threonine-protein phosphatase PP-X isozyme 1	PPX1_ARATH|Serine/threonine-protein phosphatase PP-X isozyme 1 OS=Arabidopsis thaliana OX=3702 GN=PPX1 PE=1 SV=1
CNAG_00409			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00410			hypothetical protein	Uncharacterized protein	hypothetical protein	YBPC_SCHPO|Uncharacterized protein C16H5.12c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC16H5.12c PE=1 SV=3
CNAG_00411			nucleoporin p58/p45	Nucleoporin p58/p45	nucleoporin p58/p45	
CNAG_00412			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00413	OFD1		nuclear protein	Nuclear protein	putative oxidoreductase	OFD1_SCHPO|Prolyl 3,4-dihydroxylase ofd1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ofd1 PE=1 SV=1
CNAG_00414	MAK32		hypothetical protein	Uncharacterized protein	Maintenance of killer protein 32, putative	MAK32_YEAST|Protein MAK32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAK32 PE=4 SV=2
CNAG_00415	CDC2801		CMGC/CDK protein kinase	CMGC/CDK protein kinase	CMGC/CDK protein kinase	CD11B_HUMAN|Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4
CNAG_00416			f-box/wd-repeat protein lin-23	F-box/wd-repeat protein lin-23	f-box/wd-repeat protein lin-23	CDC4_CANAX|Cell division control protein 4 OS=Candida albicans OX=5476 GN=CDC4 PE=3 SV=1
CNAG_00417			elongation factor 1-gamma	Elongation factor 1-gamma	elongation factor 1-gamma	EF1G_SCHPO|Elongation factor 1-gamma OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tef3 PE=1 SV=1
CNAG_00418			S-adenosylmethionine synthase	S-adenosylmethionine synthase (EC 2.5.1.6)	S-adenosylmethionine synthase	METK_SCHPO|S-adenosylmethionine synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sam1 PE=1 SV=1
CNAG_00419			DNA polymerase beta subunit	DNA polymerase beta subunit	DNA polymerase beta subunit	
CNAG_00420			dolichyl-phosphate mannosyltransferase polypeptide 3	Dolichol-phosphate mannosyltransferase subunit 3	dolichyl-phosphate mannosyltransferase polypeptide 3	
CNAG_00421			charged multivesicular body protein 3	Charged multivesicular body protein 3	charged multivesicular body protein 3	VPS24_SCHPO|Vacuolar protein sorting-associated protein 24 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vps24 PE=3 SV=1
CNAG_00422			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00423			kinetochore protein Spc24, fungi type	Kinetochore protein Spc24, fungi type	kinetochore protein Spc24, fungi type	
CNAG_00424			choline-phosphate cytidylyltransferase	Choline-phosphate cytidylyltransferase	choline-phosphate cytidylyltransferase	CCT1_ARATH|Choline-phosphate cytidylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CCT1 PE=1 SV=1
CNAG_00425			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00426			UBA/TS-N domain-containing protein	UBA/TS-N domain-containing protein	UBA/TS-N domain-containing protein	UCP7_SCHPOUB|A domain-containing protein 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ucp7 PE=4 SV=1
CNAG_00427			type 2C protein Phosphatase	Type 2C protein Phosphatase	type 2C protein Phosphatase	PDP1_YEAS|T[Pyruvate dehydrogenase
CNAG_00428			hypothetical protein	Uncharacterized protein	hypothetical protein	YDW1_SCHPO|Uncharacterized protein C23C11.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23C11.01 PE=4 SV=1
CNAG_00429			tRNA-dihydrouridine synthase 1	tRNA-dihydrouridine synthase 1	tRNA-dihydrouridine synthase 1	DUS1L_HUMA|NtRNA-dihydrouridine(16/17) synthase
CNAG_00430			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00433			hypothetical protein	Uncharacterized protein	hypothetical protein	MOT2_HUMAN|Monocarboxylate transporter 2 OS=Homo sapiens OX=9606 GN=SLC16A7 PE=1 SV=2
CNAG_00434			arginine N-methyltransferase 2	Arginine N-methyltransferase 2 (EC 2.1.1.-)	arginine N-methyltransferase 2	RMT2_CRYNB|Protein arginine N-methyltransferase 2 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RMT2 PE=3 SV=1
CNAG_00435			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00436			palmitoyltransferase AKR1	Palmitoyltransferase (EC 2.3.1.225)	palmitoyltransferase akr1	AKR1_CRYNB|Palmitoyltransferase AKR1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=AKR1 PE=3 SV=1
CNAG_00437			anaphase-promoting complex subunit 11	Anaphase-promoting complex subunit 11	anaphase-promoting complex subunit 11	APC11_ARATH|Anaphase-promoting complex subunit 11 OS=Arabidopsis thaliana OX=3702 GN=APC11 PE=1 SV=3
CNAG_00438			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00439			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00440	SSN801		cyclin C	Cyclin C	RNA polymerase II holoenzyme cyclin-like subunit	SSN8_USTMARN|A polymerase II holoenzyme cyclin-like subunit OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=SSN8 PE=3 SV=1
CNAG_00441	IMD1		inosine-5'-monophosphate dehydrogenase	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	inosine-5'-monophosphate dehydrogenase	IMDH_CRYNJ|Inosine-5'-monophosphate dehydrogenase OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=CNA04240 PE=3 SV=1
CNAG_00442			cyclin	Cyclin	cyclin	PCL1_YEASTPH|O85 cyclin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCL1 PE=1 SV=1
CNAG_00443			hypothetical protein	Uncharacterized protein	hypothetical protein	MFSB_ASPFU|Major facilitator superfamily multidrug transporter mfsB OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=mfsB PE=2 SV=1
CNAG_00444			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00445	NHP6B01		hypothetical protein	Uncharacterized protein	nonhistone chromosomal protein	HMGB2_ARATH|High mobility group B protein 2 OS=Arabidopsis thaliana OX=3702 GN=HMGB2 PE=1 SV=1
CNAG_00446			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00447			T-complex protein 1 subunit beta	T-complex protein 1 subunit beta	T-complex protein 1 subunit beta	TCPB_SCHPO|Probable T-complex protein 1 subunit beta OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cct2 PE=3 SV=1
CNAG_00448			V-type H -transporting ATPase subunit AC39	V-type proton ATPase subunit	V-type H -transporting ATPase subunit AC39	VA0D_NEUCR|V-type proton ATPase subunit d OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=vma-6 PE=3 SV=1
CNAG_00450	LEU2		3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	3-isopropylmalate dehydrogenase	LEU3_YEAS|T3-isopropylmalate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEU2 PE=1 SV=4
CNAG_00451			cytoplasmic protein	Cytoplasmic protein	cytoplasmic protein	YNE0_YEAST|Putative alanyl-tRNA editing protein alaX OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL040W PE=1 SV=1
CNAG_00452			isovaleryl-CoA dehydrogenase	Isovaleryl-CoA dehydrogenase	Isovaleryl-CoA dehydrogenase	IVD_SOLTU|Isovaleryl-CoA dehydrogenase, mitochondrial OS=Solanum tuberosum OX=4113 GN=IVD PE=1 SV=2
CNAG_00453			mitochondrial protein	Mitochondrial protein	mitochondrial protein	RCF2_YEAST|Respiratory supercomplex factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RCF2 PE=1 SV=1
CNAG_00454			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00455	UBP16		ubiquitin carboxyl-terminal hydrolase Ubp16	Ubiquitin carboxyl-terminal hydrolase Ubp16	ubiquitin carboxyl-terminal hydrolase Ubp16	UBP42_RAT|Ubiquitin carboxyl-terminal hydrolase 42 OS=Rattus norvegicus OX=10116 GN=Usp42 PE=1 SV=1
CNAG_00456	ISP6		hypothetical protein	Uncharacterized protein	Identified spore protein 6	
CNAG_00457	GLN1		glutamine synthetase	Glutamine synthetase (EC 6.3.1.2)	Glutamine synthetase, glutamine synthetase, variant	GLNA_CRYNB|Glutamine synthetase OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=GLN1 PE=3 SV=1
CNAG_00458			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00460	LIV1		hypothetical protein	Uncharacterized protein	virulence related protein of unknown function	ESC1_SCHPO|Protein esc1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=esc1 PE=2 SV=1
CNAG_00461			protein kinase C substrate 80K-H	Protein kinase C substrate 80K-H	protein kinase C substrate 80K-H	GLU2B_USTMA|Glucosidase 2 subunit beta OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=UMAG_12045 PE=3 SV=1
CNAG_00462			electron-transferring-flavoprotein dehydrogenase	Electron-transferring-flavoprotein dehydrogenase	electron-transferring-flavoprotein dehydrogenase	ETFD_SCHPO|Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC20G8.04c PE=3 SV=1
CNAG_00463			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00464			pre-mRNA-splicing factor RSE1	Pre-mRNA-splicing factor RSE1	pre-mRNA-splicing factor rse1	RSE1_CRYNB|Pre-mRNA-splicing factor RSE1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RSE1 PE=3 SV=1
CNAG_00465			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00466			adaptin ear-binding coat-associated protein 2	Adaptin ear-binding coat-associated protein 2	adaptin ear-binding coat-associated protein 2	NECP2_MOUSE|Adaptin ear-binding coat-associated protein 2 OS=Mus musculus OX=10090 GN=Necap2 PE=1 SV=1
CNAG_00467			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NEUFC_CAEBR|Neuferricin homolog OS=Caenorhabditis briggsae OX=6238 GN=tag-131 PE=3 SV=1
CNAG_00468			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00469			endoplasmic reticulum protein	Endoplasmic reticulum protein	endoplasmic reticulum protein	SVP26_YEAST|Protein SVP26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SVP26 PE=1 SV=1
CNAG_00470			charged multivesicular body protein 1	Charged multivesicular body protein 1	charged multivesicular body protein 1	DID2_SCHPO|Vacuolar protein-sorting-associated protein 46 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=did2 PE=3 SV=2
CNAG_00471			mitochondrial protein	Mitochondrial protein	mitochondrial protein	COA3_PICGU|Cytochrome c oxidase assembly factor 3, mitochondrial OS=Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) OX=294746 GN=COA3 PE=3 SV=2
CNAG_00472			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00473	OST2		oligosaccharyltransferase complex subunit epsilon	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 (Oligosaccharyl transferase subunit OST2)	oligosaccharyltransferase complex subunit epsilon	DAD1_PONAB|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Pongo abelii OX=9601 GN=DAD1 PE=3 SV=3
CNAG_00474			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00475			WSC domain-containing protein	WSC domain-containing protein	WSC domain-containing protein	
CNAG_00476			hypothetical protein	Uncharacterized protein	hypothetical protein	
